TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,A,7,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,A-,9,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,B,3,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,B+,3,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,B-,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,C,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,C+,4,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,D,2,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,F,1,Bradley Goodell,bgoodell,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,A,10,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,A-,2,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,B,5,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,B+,8,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,B-,2,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,C,1,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,F,1,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4022W,304,Strategic Management & Ldrship,W,1,Renee Schuh,rschuh,ABUS 4022W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,A,9,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,A-,4,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,B,2,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,B+,2,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,B-,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,C,4,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,C+,2,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,C-,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,F,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,W,4,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,A,8,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,A-,6,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,B,2,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,B+,7,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,B-,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C+,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C-,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,F,2,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,W,1,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,303,Communic for Strategic Results,A,8,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,303,Communic for Strategic Results,A-,4,Bradley Goodell,bgoodell,ABUS 4023W
1259,UMNTC,UMNTC,ABUS,4023W,303,Communic for Strategic Results,B,5,Bradley Goodell,bgoodell,ABUS 4023W
