TERM,TERM_DESCR,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,B+,2,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,B-,1,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,C,2,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,D,1,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,W,3,Bradley Goodell,bgoodell,ABUS 4023W
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,A,4,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,A-,5,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,B,8,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,B+,9,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,B-,4,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,C,2,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,C+,1,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,D,1,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,W,1,David Kaiser,kaise178,ABUS 4041
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,A,13,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,A-,4,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,B,1,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,B+,2,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,B-,2,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,C+,2,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,C-,1,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,D,1,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,W,2,William Bengtson,bengt169,ABUS 4043
1233,Spr 2023,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,A,20,Uriah Giordana,ugiordan,ABUS 4101
1233,Spr 2023,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,A-,8,Uriah Giordana,ugiordan,ABUS 4101
1233,Spr 2023,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,B,2,Uriah Giordana,ugiordan,ABUS 4101
1233,Spr 2023,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,B+,2,Uriah Giordana,ugiordan,ABUS 4101
1233,Spr 2023,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,B-,2,Uriah Giordana,ugiordan,ABUS 4101
1233,Spr 2023,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,C,3,Uriah Giordana,ugiordan,ABUS 4101
