TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,NAME,JOBCODE_DESCR,INTERNET_ID
1255,Sum 2025,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,F,24,3,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,A,53,15,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,A-,53,8,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,B,53,7,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,B+,53,8,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,B-,53,4,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,C,53,6,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,C-,53,2,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,F,53,1,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,W,53,2,PI,"Poch,Kendell Kaye",Senior Lecturer,beck0620
1255,Sum 2025,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,A,28,18,PI,"Konte,Mohammed",Lecturer,mkonte
1255,Sum 2025,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,A-,28,3,PI,"Konte,Mohammed",Lecturer,mkonte
1255,Sum 2025,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,B,28,2,PI,"Konte,Mohammed",Lecturer,mkonte
1255,Sum 2025,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,B+,28,2,PI,"Konte,Mohammed",Lecturer,mkonte
1255,Sum 2025,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,C-,28,1,PI,"Konte,Mohammed",Lecturer,mkonte
1255,Sum 2025,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,F,28,2,PI,"Konte,Mohammed",Lecturer,mkonte
1255,Sum 2025,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,A,24,6,PI,"Bowen,Kara",Lecturer,klbowen
1255,Sum 2025,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,A-,24,6,PI,"Bowen,Kara",Lecturer,klbowen
1255,Sum 2025,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,B,24,5,PI,"Bowen,Kara",Lecturer,klbowen
1255,Sum 2025,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,B+,24,2,PI,"Bowen,Kara",Lecturer,klbowen
1255,Sum 2025,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,B-,24,1,PI,"Bowen,Kara",Lecturer,klbowen
1255,Sum 2025,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,C,24,2,PI,"Bowen,Kara",Lecturer,klbowen
1255,Sum 2025,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,W,24,2,PI,"Bowen,Kara",Lecturer,klbowen
1255,Sum 2025,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,A,16,10,PI,"Kitson,Marte Christofa Thabes",SS Pro 5,mkitson
