TERM,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1235,UMNTC,ARAB,1001,001,Survival Arabic,C,1,Emily Sumner,,ARAB 1001
1235,UMNTC,ARAB,1001,001,Survival Arabic,S,1,Emily Sumner,,ARAB 1001
1235,UMNTC,ARTH,1921W,001,Intro to Film Study,A,7,Amy Meehleder,,ARTH 1921W
1235,UMNTC,ARTH,1921W,001,Intro to Film Study,A-,6,Amy Meehleder,,ARTH 1921W
1235,UMNTC,ARTS,1002,001,Art and Life,A,10,Hawona Janzen,,ARTS 1002
1235,UMNTC,ARTS,1002,001,Art and Life,F,1,Hawona Janzen,,ARTS 1002
1235,UMNTC,ARTS,1801,001,Introduction to Ceramics,A,7,Kimberlee Roth,roth0292,ARTS 1801
1235,UMNTC,ARTS,1801,001,Introduction to Ceramics,A-,4,Kimberlee Roth,roth0292,ARTS 1801
1235,UMNTC,ARTS,1801,001,Introduction to Ceramics,B+,1,Kimberlee Roth,roth0292,ARTS 1801
1235,UMNTC,ARTS,1801,001,Introduction to Ceramics,S,1,Kimberlee Roth,roth0292,ARTS 1801
1235,UMNTC,ASL,1701,101,ASL I,A,2,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,A-,3,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,B,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,B+,4,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,B-,2,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,C,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,C+,3,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,C-,2,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,D,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,F,3,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,101,ASL I,S,3,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,A-,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,B,3,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,B+,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,B-,3,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,C,2,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,C+,3,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,C-,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,F,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,S,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1701,102,ASL I,W,1,Jonathan Penny,jcpenny,ASL 1701
1235,UMNTC,ASL,1702,001,ASL II,A,8,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,001,ASL II,A-,2,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,001,ASL II,B,1,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,001,ASL II,B+,2,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,001,ASL II,B-,1,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,001,ASL II,C,3,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,001,ASL II,F,1,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,001,ASL II,S,3,Leah Dolezal,ldolezal,ASL 1702
1235,UMNTC,ASL,1702,002,ASL II,A,8,Nishani McCluskey,nmcclusk,ASL 1702
1235,UMNTC,ASL,1702,002,ASL II,A-,6,Nishani McCluskey,nmcclusk,ASL 1702
1235,UMNTC,ASL,1702,002,ASL II,B+,2,Nishani McCluskey,nmcclusk,ASL 1702
1235,UMNTC,ASL,1702,002,ASL II,B-,1,Nishani McCluskey,nmcclusk,ASL 1702
1235,UMNTC,ASL,1702,002,ASL II,F,1,Nishani McCluskey,nmcclusk,ASL 1702
1235,UMNTC,ASL,1702,002,ASL II,N,1,Nishani McCluskey,nmcclusk,ASL 1702
1235,UMNTC,ASL,3703,101,ASL III,A,1,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3703,101,ASL III,A-,2,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3703,101,ASL III,B,3,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3703,101,ASL III,B+,3,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3703,101,ASL III,B-,1,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3703,101,ASL III,C+,1,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3703,101,ASL III,S,3,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3703,101,ASL III,W,1,Bradley Neubarth,neuba020,ASL 3703
1235,UMNTC,ASL,3704,101,ASL IV,A-,3,Shirley Applebee,apple002,ASL 3704
1235,UMNTC,ASL,3704,101,ASL IV,B,2,Shirley Applebee,apple002,ASL 3704
1235,UMNTC,ASL,3704,101,ASL IV,B+,3,Shirley Applebee,apple002,ASL 3704
1235,UMNTC,ASL,3704,101,ASL IV,B-,1,Shirley Applebee,apple002,ASL 3704
1235,UMNTC,ASL,3704,101,ASL IV,S,4,Shirley Applebee,apple002,ASL 3704
1235,UMNTC,AST,1001,101,Explore Universe,A,9,Nico Adams,,AST 1001
1235,UMNTC,AST,1001,101,Explore Universe,A-,2,Nico Adams,,AST 1001
1235,UMNTC,AST,1001,101,Explore Universe,B-,1,Nico Adams,,AST 1001
1235,UMNTC,AST,1001,101,Explore Universe,C-,1,Nico Adams,,AST 1001
1235,UMNTC,AST,1001,101,Explore Universe,S,2,Nico Adams,,AST 1001
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,A,6,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,A-,4,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,B,7,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,B+,8,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,B-,5,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,C,1,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,C-,1,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,D,1,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,001,Business Scenarios in Excel,W,3,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,002,Business Scenarios in Excel,A,6,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,002,Business Scenarios in Excel,B,3,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,002,Business Scenarios in Excel,B+,2,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,002,Business Scenarios in Excel,B-,1,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,002,Business Scenarios in Excel,C+,1,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,002,Business Scenarios in Excel,C-,2,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,2051,002,Business Scenarios in Excel,W,1,Nick Seeman,seem0040,BA 2051
1235,UMNTC,BA,3033W,001,Bus Communication,A,1,Adam Schrag,atschrag,BA 3033W
1235,UMNTC,BA,3033W,001,Bus Communication,A-,7,Adam Schrag,atschrag,BA 3033W
1235,UMNTC,BA,3033W,001,Bus Communication,B,4,Adam Schrag,atschrag,BA 3033W
1235,UMNTC,BA,3033W,001,Bus Communication,B+,11,Adam Schrag,atschrag,BA 3033W
1235,UMNTC,BA,3033W,001,Bus Communication,B-,2,Adam Schrag,atschrag,BA 3033W
1235,UMNTC,BA,3033W,001,Bus Communication,F,2,Adam Schrag,atschrag,BA 3033W
1235,UMNTC,BA,3033W,002,Bus Communication,A,2,Nat Bennett,nbennett,BA 3033W
1235,UMNTC,BA,3033W,002,Bus Communication,A-,11,Nat Bennett,nbennett,BA 3033W
1235,UMNTC,BA,3033W,002,Bus Communication,B,3,Nat Bennett,nbennett,BA 3033W
1235,UMNTC,BA,3033W,002,Bus Communication,B+,3,Nat Bennett,nbennett,BA 3033W
1235,UMNTC,BA,3033W,002,Bus Communication,D,1,Nat Bennett,nbennett,BA 3033W
1235,UMNTC,BA,3033W,002,Bus Communication,F,2,Nat Bennett,nbennett,BA 3033W
1235,UMNTC,BA,3033W,002,Bus Communication,W,1,Nat Bennett,nbennett,BA 3033W
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,A,15,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,A-,4,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,B,4,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,B+,2,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,B-,4,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,C,1,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,C+,1,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,2201,001,Renewable Energy & Environment,F,3,David Schmidt,schmi071,BBE 2201
1235,UMNTC,BBE,3201,001,Sustainability of Food Systems,A,7,Jason Hill,hill0408,BBE 3201
1235,UMNTC,BBE,3201,001,Sustainability of Food Systems,A-,1,Jason Hill,hill0408,BBE 3201
1235,UMNTC,BBE,3201,001,Sustainability of Food Systems,C,1,Jason Hill,hill0408,BBE 3201
1235,UMNTC,BBE,3201,001,Sustainability of Food Systems,C-,1,Jason Hill,hill0408,BBE 3201
