TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,B-,3,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,C,1,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,C+,1,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,F,3,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,W,6,Jeff Neidt,neidt004,ABUS 3201
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,A,9,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,A-,8,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B,4,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B+,1,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B-,2,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,C,1,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,C+,2,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,C-,2,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,W,3,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,A,11,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,A-,2,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B,3,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B+,5,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B-,1,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,C,1,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,C+,2,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,F,2,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,W,6,Karen Drake,lutt0002,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,A,10,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,A-,9,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,B,6,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,B+,2,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,B-,1,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,C,1,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,D,2,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,F,1,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,W,2,Alex Hooper,hoope154,ABUS 3301
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,A,14,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,A-,6,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,B,5,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,B+,2,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,B-,1,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,C,1,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,C-,2,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,D,1,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,D+,1,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,F,1,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3510,301,Virtual Global Communication,W,1,Ann Lowry,lowry009,ABUS 3510
1263,UMNTC,UMNTC,ABUS,3950,301,Special Topics,A,3,Elizabeth Adams,adam0221,ABUS 3950
1263,UMNTC,UMNTC,ABUS,3950,301,Special Topics,A-,1,Elizabeth Adams,adam0221,ABUS 3950
1263,UMNTC,UMNTC,ABUS,3950,301,Special Topics,B,4,Elizabeth Adams,adam0221,ABUS 3950
1263,UMNTC,UMNTC,ABUS,3950,301,Special Topics,B+,1,Elizabeth Adams,adam0221,ABUS 3950
1263,UMNTC,UMNTC,ABUS,3950,301,Special Topics,B-,2,Elizabeth Adams,adam0221,ABUS 3950
1263,UMNTC,UMNTC,ABUS,3950,301,Special Topics,C+,1,Elizabeth Adams,adam0221,ABUS 3950
1263,UMNTC,UMNTC,ABUS,3950,301,Special Topics,W,1,Elizabeth Adams,adam0221,ABUS 3950
1263,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A,24,Charles Bethel,bethe036,ABUS 4013W
1263,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B,1,Charles Bethel,bethe036,ABUS 4013W
1263,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B+,2,Charles Bethel,bethe036,ABUS 4013W
1263,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",C+,1,Charles Bethel,bethe036,ABUS 4013W
1263,UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",W,1,Charles Bethel,bethe036,ABUS 4013W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,A,11,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,A-,7,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B,2,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B+,4,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B-,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,C,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,C-,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,F,2,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,S,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,A,8,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,A-,10,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B,2,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B+,2,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B-,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,C,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,C+,4,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,C-,1,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,A,8,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,A-,4,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,B,5,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,B+,4,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,B-,3,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,C,2,Bradley Goodell,bgoodell,ABUS 4022W
1263,UMNTC,UMNTC,ABUS,4022W,303,Strategic Management & Ldrship,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
