Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Fall 2022,5.33,5.33,5.33,5.33,5.33,5.33,5.33,3,ABUS 4701
Spr 2023,4.67,4.33,4.67,3.0,4.33,5.0,3.67,3,ABUS 4701
Fall 2020,4.45,4.36,4.55,4.18,3.27,3.09,3.64,11,ABUS 4702
Spr 2021,5.75,6.0,5.75,5.25,5.25,5.25,5.75,4,ABUS 4702
Fall 2021,5.0,4.91,4.92,4.58,3.75,3.92,4.58,12,ABUS 4702
Spr 2022,5.67,5.17,4.83,5.0,4.33,4.83,4.5,6,ABUS 4702
Fall 2022,4.0,4.0,4.0,3.0,4.0,2.0,3.0,1,ABUS 4702
Spr 2023,4.0,3.5,4.0,4.17,3.17,2.67,3.33,6,ABUS 4702
Sum 2023,4.0,2.0,3.0,4.0,2.0,4.0,3.0,1,ABUS 4702
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ABUS 4703
Spr 2022,4.5,5.0,3.5,4.5,5.5,5.5,4.0,2,ABUS 4703
Spr 2023,5.67,6.0,5.67,5.5,5.67,6.0,6.0,3,ABUS 4703
Fall 2020,4.0,4.0,5.0,4.0,6.0,6.0,4.0,1,ABUS 4705
Fall 2020,6.0,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4013W
Spr 2021,4.75,4.75,4.25,4.75,4.75,4.75,3.25,4,ABUS 4013W
Fall 2021,5.33,4.33,6.0,5.67,6.0,6.0,5.33,4,ABUS 4013W
Spr 2022,4.0,2.0,2.5,5.0,4.5,4.0,3.0,2,ABUS 4013W
Fall 2022,5.5,5.75,5.75,5.75,5.75,5.75,5.75,4,ABUS 4013W
Spr 2023,5.0,5.0,5.33,5.33,5.33,5.33,5.33,3,ABUS 4013W
Fall 2020,5.31,5.15,5.69,5.31,5.62,5.62,5.62,13,ABUS 4023W
Spr 2021,5.0,4.88,5.33,5.0,5.22,5.44,5.33,9,ABUS 4023W
Sum 2021,5.17,4.5,5.33,5.33,5.0,5.67,5.17,6,ABUS 4023W
Fall 2021,5.6,5.13,5.73,5.53,5.47,5.73,5.53,15,ABUS 4023W
Spr 2022,5.42,4.58,5.42,5.25,5.58,5.25,5.08,12,ABUS 4023W
Fall 2022,5.55,5.09,5.45,5.55,5.55,5.64,5.64,11,ABUS 4023W
Spr 2023,5.67,5.33,5.56,5.67,5.78,5.67,5.78,9,ABUS 4023W
Sum 2023,5.0,5.0,6.0,5.0,6.0,6.0,6.0,2,ABUS 4023W
Fall 2020,5.53,4.87,5.53,5.47,5.47,5.47,5.2,15,ACCT 1911
Spr 2021,5.67,5.46,5.69,5.69,5.23,5.69,5.38,13,ACCT 1911
Fall 2021,6.0,6.0,5.83,6.0,5.83,5.75,5.92,12,ACCT 1911
Spr 2022,5.42,5.42,5.33,5.17,5.42,5.67,5.5,13,ACCT 1911
Fall 2022,5.69,5.77,5.69,5.77,5.77,6.0,6.0,13,ACCT 1911
Spr 2023,5.82,5.91,5.82,5.73,5.64,5.64,5.73,11,ACCT 1911
Fall 2020,5.31,4.62,5.2,5.17,5.16,5.19,5.06,345,ACCT 2050
Spr 2021,5.14,4.46,5.09,5.07,4.98,5.07,4.85,388,ACCT 2050
Sum 2021,4.06,3.59,3.65,4.12,4.18,3.71,3.47,17,ACCT 2050
Fall 2021,5.39,4.92,5.29,5.33,5.26,5.29,5.22,503,ACCT 2050
Spr 2022,5.44,4.79,5.41,5.4,5.23,5.41,5.16,357,ACCT 2050
Fall 2022,5.12,4.46,5.06,4.99,4.87,5.06,4.78,693,ACCT 2050
Spr 2023,5.37,4.87,5.31,5.38,5.18,5.34,5.07,551,ACCT 2050
Sum 2023,5.8,5.36,5.87,5.87,5.53,5.87,5.8,15,ACCT 2050
Fall 2020,5.39,4.69,5.45,5.39,5.36,5.61,5.1,224,ACCT 3001
Spr 2021,5.49,4.88,5.37,5.47,5.5,5.57,5.31,163,ACCT 3001
Sum 2021,5.55,5.3,5.5,5.6,5.45,5.5,5.3,20,ACCT 3001
Fall 2021,5.11,4.37,5.27,5.16,4.94,5.22,4.77,188,ACCT 3001
